AFF_LOVE_POINT	Очки любви: %d%%
CHANNEL_NOTIFY_FULL	Этот канал перегружен.  Пожалуйста выберите другой.
CHANNEL_NOT_FIND_INFO	Вы не можете получить информацию на этом канале.
CHANNEL_PVP	Свободный поединок
CHANNEL_SELECT_CHANNEL	Выберите канал
CHANNEL_SELECT_REGION	Выберите регион.
CHANNEL_SELECT_SERVER	Выбрать сервер
CHAT_ALL	Все
CHAT_GUILD	Гильдия
CHAT_INFORMATION	Инфо
CHAT_INSULT_STRING	Фраза содержит недопустимые слова.
CHAT_LOG	Показывать все сообщения [L]
CHAT_LOG_TITLE	Показать лог чата.
CHAT_NORMAL	Норм.
CHAT_NOTICE	Уведомление
CHAT_PARTY	Группа
CHAT_SEND_CHAT	Отправить
CHAT_SEND_MEMO	Шепнуть [Shift+Enter]
CHAT_SHOUT	Крикнуть
CHAT_SHOUT_LIMIT	Крикнуть можно только один раз в 15 секунд.
COMB_ALREADY_APPEND	
CREATE_ERROR_GM_NAME	Имя персонажа не должно содержать ,ГМ‘ .
CREATE_ERROR_INSULT_NAME	Это имя недопустимо.
CREATE_EXIST_SAME_NAME	Персонаж с таким именем уже существует.
CREATE_FAILURE	Создание персонажа невозможно.
CREATE_GM_NAME	ГМ
CREATE_INPUT_NAME	Введите имя.
DAY	Дней
DO_YOU_BUY_ITEM1	Хотите купить %s за %s?
DO_YOU_BUY_ITEM2	Купить %s %s за %s?
DO_YOU_DROP_MONEY	Хотите выбросить %d янг?
DO_YOU_SELL_ITEM1	Хотите продать %s за %s?
DO_YOU_SELL_ITEM2	Хотите продать %s %s за %s ?
DRAGON_SOUL_CANNOT_REFINE	Улучшение этого Камня Дракона невозможно.
DRAGON_SOUL_CANNOT_REFINE_MORE	Этот Камень Дракона уже достиг наивысшего уровня.
DRAGON_SOUL_EQUIP_WARNING1	Удаление Камня Дракона, сложный процесс.
DRAGON_SOUL_EQUIP_WARNING2	И все же вы желаете попробовать?
DRAGON_SOUL_EXPIRED	Использованный Камень Дракона
DRAGON_SOUL_INVALID_DRAGON_SOUL	Это не тот Камень Дракона.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Это не Камень Дракона.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Это не тот Камень Дракона.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	У вас недостаточно материалов для улучшения.
DRAGON_SOUL_STEP_LEVEL1	Чистота: матовый.
DRAGON_SOUL_STEP_LEVEL2	Чистота: прозрачный.
DRAGON_SOUL_STEP_LEVEL3	Чистота: безупречный.
DRAGON_SOUL_STEP_LEVEL4	Чистота: бриллиантовый.
DRAGON_SOUL_STEP_LEVEL5	Чистота: великолепный.
DRAGON_SOUL_STRENGTH	Уровень: +%d 	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Камень Дракона может быть уничтожен.
DRAGON_SOUL_UNEQUIP_WARNING2	И все же вы желаете попробовать?
DRAGON_SOUL_UNMATCHED_SLOT	Это не та ячейка.
DRAGON_SOUL_UNQUALIFIED	Вы пока не можете использовать ал�
имию Дракона.
DROP_ITEM_FAILURE_EQUIP_ITEM	Вы не можете выбросить снаряженный предмет.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Вы не можете выбросить снаряженный предмет во время открытия лавки.
DROP_MONEY_FAILURE_1000_OVER	Вы можете выбросить не больше 999 янг.
EMOTION_ANGRY	Досада
EMOTION_ATTRACTIVE	Соблазнение
EMOTION_BANTER	Ирония
EMOTION_CHEERS_1	Ликование
EMOTION_CHEERS_2	Ликование 2
EMOTION_CHEERUP	Ликование
EMOTION_CHOOSE_ONE	Выберите цель.
EMOTION_CLAP	Апплодисмент
EMOTION_CLAP_KISS	Поцелуй
EMOTION_CONGRATULATION	Одобрение
EMOTION_DANCE_1	Танец 1
EMOTION_DANCE_2	Танец 2
EMOTION_DANCE_3	Танец 3
EMOTION_DANCE_4	Танец 4
EMOTION_DANCE_5	Танец 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Мольба о прощении
EMOTION_FRENCH_KISS	Поцелуй языками
EMOTION_JOY	Радость
EMOTION_SAD	Печаль
EMOTION_SHY	Отказ
EMOTION_SLAP	Удар
EMPIRE_A	Империя Шиньзо
EMPIRE_B	Империя Хунджо
EMPIRE_C	Империя Джинно
EXCHANGE_CANNOT_GIVE	Торговать этим предметом нельзя.
EXCHANGE_CANT_EDIT_MONEY	Изменить стоимость в данный момент невозможно.
EXCHANGE_FAILURE_EQUIP_ITEM	Вы не можете сменить используемые предметы..
EXCHANGE_MONEY	Стоимость
EXCHANGE_TITLE	Произвести сделку с %s
FISHING_FAILURE	Вы потеряли наживку.
FISHING_NOTIFY1	По�
оже, что %s клюнула.
FISHING_NOTIFY2	По�
оже, что %s поймана.
FISHING_SUCCESS1	Вы поймали %s!
FISHING_SUCCESS2	%s принадлежит вам!
FISHING_UNKNOWN	Я немогу разглядеть что я поймал.
FISHING_WRONG_PLACE	Я не могу здесь рыбачить.
FOR_FEMALE	Для женщин
FOR_MALE	Для мужчин
GAME_CANNOT_MINING	Сбор руды невозможен, пока вы на коне.
GAME_CANNOT_PICK_ITEM	Забрать предмет невозможно, поскольку он был за�
вачен не вами.
GAME_INIT_ERROR_CURSOR	Курсор не установлен.
GAME_INIT_ERROR_DIRECTX	Для игры необ�
одимо установить DirectX 8.1. \nУстановите DirectX версии 8.1 или выше.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Видеоадаптер не найден. \nПроверьте правильность установки видеокарты.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Видеоадаптер не установлен.\nПроверьте, вставлена ли видеокарта.\nЛибо включите аппаратное ускорение.\n(Установите ползунок аппаратного ускорения на максимум в \nПанель управления - Экран - Параметры - Дополнительно - Диагностика)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Ваша видеокарта не поддерживает 32-битную цветопередачу в оконном режиме. \nУстановите 16-битную цветопередачу или полноэкранный режим.
GAME_INIT_ERROR_ITEM_PROTO	Не найдены данные о предмета�
. \nПереустановите игру.
GAME_INIT_ERROR_MAIN_WINDOW	Приложение вызвало ошибку и будет закрыто.
GAME_INIT_ERROR_MOB_PROTO	Не найдены данные о существа�
. \nПереустановите игру.
GAME_INIT_ERROR_NETWORK	Сетевые устройства не установлены. \nПроверьте соединение с интернетом.
GAME_PICK_MONEY	Вы получили %d янг.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Высота изображения не 128 пикселей.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Высота изображения не 12 пикселей.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Ширина изображения не 16 пикселей.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Ширина изображения не 64 пикселей
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Игра не поддерживает данное изображение.
GUILDMARK_UPLOADER_ERROR_PATH	Скопируйте файлы в папку metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Файл изображения не выбран.
GUILDWAR_CTF_TITLE	Флаг за�
вачен.
GUILDWAR_NORMAL_TITLE	Поле битвы
GUILDWAR_WARP_TITLE	Арена войны гильдий
GUILD_BUILDING_GRADE	Ранг
GUILD_BUILDING_NAME	Название здания
GUILD_CANNOT_HEAL_GSP_ANYMORE	Энергия Ду�
а Дракона полностью востановлена.
GUILD_COMMENT	Писать
GUILD_CREATE_ERROR_INSULT_NAME	Имя гильдии недопустимо.
GUILD_DEFAULT_GRADE	Член гильдии
GUILD_DELETE	Удалить
GUILD_DEPOSIT	Отложить
GUILD_DO_YOU_HEAL_GSP	Желаете восстановить за %d янг %d Ду�
а Дракона?
GUILD_DO_YOU_JOIN	 �
отите присоединиться к гильдии?
GUILD_EMPTY_AREA	Пустая Земля
GUILD_FACILITY	Пристройка
GUILD_GEM	Самоцвет
GUILD_HEADQUARTER	Главный корпус
GUILD_HEAL_GSP	Восстановить Ду�
 Дракона
GUILD_INFO_ENEMY_GUILD_EMPTY	нет
GUILD_MARK_NOT_ENOUGH_LEVEL	Требуется мин. 3 уровень
GUILD_NAME	Имя гильдии
GUILD_NOT_ENOUGH_MATERIAL	У вас недостаточно строительного материала, чтобы построить это здание.
GUILD_NOT_ENOUGH_MONEY	У вас недостаточно янг для  этого сооружения.
GUILD_NO_NOTICE_PERMISSION	Вы не вправе делать уведомления.
GUILD_OBJECT	Объекты
GUILD_OFFER_EXP	Инвестировать опыт
GUILD_SHORT_EXP	Недостаточно опыта
GUILD_TILE_BASEINFO	Базовая информация
GUILD_TILE_BOARD	Плитка
GUILD_TILE_GRADE	Управление позицией
GUILD_TILE_INFO	Гильдия-инфо
GUILD_TILE_MEMBER	Члены гильдии
GUILD_TILE_SKILL	Навыки гильдии
GUILD_REMOVE_MEMBER_QUESTION	Вы �
отите удалить этого участника?
GUILD_VILLAGE_01	Мирйанг
GUILD_VILLAGE_02	Сонгпа
GUILD_VILLAGE_03	Даэйами
GUILD_WAR1	Территория войны гильдий
GUILD_WAR2	Территория войны гильдий
GUILD_WAR3	Территория войны гильдий
GUILD_WAR4	Территория войны гильдий
GUILD_WAR_LIMIT_30MIN	Время: 30 минут
GUILD_WAR_REWARD_POTION	Награда: победитель получает зелье
GUILD_WAR_USE_BATTLE_MAP	Местность: арена войны гильдий
GUILD_WAR_USE_NORMAL_MAP	Местона�
ождение: стандартная карта
GUILD_WAR_WIN_CHECK_SCORE	Лучший результат приносит победу в войне.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	За�
ватите флаг противника
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	и принесите его к Вашей базе.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Устраните все�
 противников, чтобы победить.
GUILD_WITHDRAW	Отвод
GUILD_YOU_DO_NOT_JOIN	Вы не состоите ни в одной гильдии.
HORSE_HEALTH0	Убит
HORSE_HEALTH1	Голоден
HORSE_HEALTH2	Умирает от голода
HORSE_HEALTH3	перегружен
HORSE_LEVEL1	Обычный конь
HORSE_LEVEL2	Броневой конь
HORSE_LEVEL3	Боевой конь
HOUR	Час.
HOW_MANY_ITEM_DO_YOU_DROP1	Хотите выбросить %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Хотите выбросить %s %d ?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Введите код удаления из управления учётной записью.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Удалить персонаж
INVENTORY_REALLY_USE_ITEM	Применить на этом предмете?
JOB_ASSASSIN	Ниндзя
JOB_ASSASSIN0	Ниндзя-новичок
JOB_ASSASSIN1	Сила Ниндзя
JOB_ASSASSIN2	Нежить
JOB_SHAMAN	Шаман
JOB_SHAMAN0	Шаман-новичок
JOB_SHAMAN1	Могущество Дракона
JOB_SHAMAN2	Сила молнии
JOB_SURA	Сура
JOB_SURA0	Сура-новичок
JOB_SURA1	Могущество Фата Моргана
JOB_SURA2	Могущество Чёрной магии
JOB_WARRIOR	Воин
JOB_WARRIOR0	Воин-новичок
JOB_WARRIOR1	Могущество Ара�
ана
JOB_WARRIOR2	Могущество Партизанов
LEFT_TIME	Остав.время
LOCALE_CHANGE_CONFIRM	Изменить язык на %s и перезагрузить игру?
LOGIN_CONNECT_FAILURE	Ошибка при соединении с сервером.
LOGIN_CONNECT_SUCCESS	Вы соединены с сервером.
LOGIN_CONNETING	Проис�
одит соединение с сервером...
LOGIN_FAILURE_ALREAY	Ваша учётная запись  уже соединена.
LOGIN_FAILURE_BE_SAME_KEY	Проблема с регистрацией
LOGIN_FAILURE_BLOCK_ID	Учетная запись заблокирована.
LOGIN_FAILURE_BLOCK_LOGIN	Выберите другой сервер!
LOGIN_FAILURE_NOBILL	В вашей учётной записи нет игрового времени.
LOGIN_FAILURE_NOT_AVAIL	Учётная запись недоступна.
LOGIN_FAILURE_NOT_EXIST_ID	Неверное имя или пароль.
LOGIN_FAILURE_REPAIR_ID	Предметы для данного учётной записи  сейчас восстанавливаются.
LOGIN_FAILURE_SAMELOGIN	Кто-то зашел на ваш аккаунт.
LOGIN_FAILURE_SHUTDOWN	Сервер пока ещё закрыт.
LOGIN_FAILURE_TOO_MANY_USER	В соединении отказано. Сервер переполнен.
LOGIN_FAILURE_UNKNOWN	Регистрация  не состоялась по неизвестным причинам.
LOGIN_FAILURE_WEB_BLOCK	Вас заблокировали на сайте. Пожалуйста проверьте  свой Email.
LOGIN_FAILURE_WRONG_PASSWORD	Неправильное имя или пароль.
LOGIN_INPUT_ID	Введите номер идентификации.
LOGIN_INPUT_PASSWORD	Введите пароль.
LOGIN_PROCESSING	Проис�
одит регистрация...
MALL_CANNOT_INSERT	Вы не можете  внести предмет.
MALL_PASSWORD_TITLE	Пароль
MAP_A1	Земля Йонган
MAP_A2	Долина Сеунгрийонг
MAP_A2_1	Valley of Seungryong (2)
MAP_A3	Земля Яянг
MAP_AG	Юнгранг
MAP_B1	Земля Йоан
MAP_B2	Долина Имджи
MAP_B3	Земля Бокъюнг
MAP_BATTLE_FIELD	Поле боя
MAP_BAY	Нефритовый залив
MAP_BAYBLACKSAND	Нефритовый залив
MAP_BG	Варйонг
MAP_C1	Земля Пуингмо
MAP_C2	Долина Бангзан
MAP_C3	Земля Бакра
MAP_CAPE	Мыс пламя дракона
MAP_CAPEDRAGONHEAD	Мыс пламя дракона
MAP_CG	Им�
а
MAP_CZ_DUNGEON	Храм Зодиака
MAP_DAWN	Утес Гаутама
MAP_DAWNMISTWOOD	Утес Гаутама
MAP_DAWNMIST_DUNGEON_01	Зачарованный лес
MAP_DESERT	Пустыня Йонгби
MAP_DEVILCATACOMB	Катакомбы дьявола
MAP_DEVILTOWER1	Башня демонов
MAP_DUEL	Арена для учебны�
 боев
MAP_E	Колония
MAP_EMPIREWAR01	Битва Замков
MAP_EMPIREWAR02	Битва Замков
MAP_EMPIREWAR03	Битва Замков
MAP_FLAME	Доюм�
ван
MAP_GUILD_01	Юнгранг
MAP_GUILD_02	Варйонг
MAP_GUILD_03	Им�
а
MAP_HOLYPLACE_DESERT	Битва Империй-Пустынные земли
MAP_HOLYPLACE_FLAME	Битва Империй-Огненные земли
MAP_HOLYPLACE_ICE	Битва Империй-Ледяные земли
MAP_MILGYO	Храм Хванг
MAP_MILGYO_A	Hwang Temple
MAP_MONKEY_DUNGEON	Хасун Донг
MAP_MONKEY_DUNGEON2	Юнгсун Донг
MAP_MONKEY_DUNGEON3	Сангсун Донг
MAP_MONKEY_DUNGEON_11	Хасун Донг
MAP_MONKEY_DUNGEON_12	Хасун Донг
MAP_MONKEY_DUNGEON_13	Хасун Донг
MAP_MT_THUNDER	Горы грома
MAP_MT_TH_DUNGEON_01	Храм Окао
MAP_NUSLUCK	Земля Громил
MAP_NUSLUCK01	Земля Громил
MAP_N_DESERT_01	Пустыня Йонгби
MAP_N_DESERT_02	Yongbi Desert (2)
MAP_N_FLAME_01	Огненные земли
MAP_N_FLAME_02	Fireland (2)
MAP_N_FLAME_DRAGON	Сокровищница Мелеи
MAP_N_FLAME_DUNGEON_01	Крепость красного дракона
MAP_N_SNOWM_01	Гора Со�
ан
MAP_N_SNOWM_02	Mount Sohan (2)
MAP_N_SNOW_DUNGEON_01	Башня Немера
MAP_N_THREEWAY	Долина Сеунгрийонг
MAP_OXEVENT	OX-соревнование
MAP_PATHWAY_DESERT_01	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_02	Битва Империй-Пустынные земли
MAP_PATHWAY_DESERT_03	Битва Империй-Пустынные земли
MAP_PATHWAY_FLAME_01	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_02	Битва Империй-Огненные земли
MAP_PATHWAY_FLAME_03	Битва Империй-Огненные земли
MAP_PATHWAY_ICE_01	Битва Империй-Ледяные земли
MAP_PATHWAY_ICE_02	Страна Развлечений
MAP_PATHWAY_ICE_03	Битва Империй-Ледяные земли
MAP_SKELTOWER	Башня Гумсан
MAP_SKIPIA_DUNGEON_01	Грот изгнанников
MAP_SKIPIA_DUNGEON_011	Grotto of Exile (1)
MAP_SKIPIA_DUNGEON_012	Grotto of Exile (1)
MAP_SKIPIA_DUNGEON_013	Grotto of Exile (1)
MAP_SKIPIA_DUNGEON_02	Грот изгнанников 2
MAP_SKIPIA_DUNGEON_021	Grotto of Exile 2 (1)
MAP_SKIPIA_DUNGEON_022	Grotto of Exile 2 (1)
MAP_SKIPIA_DUNGEON_023	Grotto of Exile 2 (1)
MAP_SKIPIA_DUNGEON_BOSS	Логово дракона
MAP_SKIPIA_DUNGEON_BOSS_1	Подземелье пауков 1
MAP_SKIPIA_DUNGEON_BOSS_2	Подземелье пауков 2
MAP_SKIPIA_DUNGEON_BOSS_3	Подземелье пауков 3
MAP_SNOW	Гора Со�
ан
MAP_SPIDER	Куало Донг
MAP_SPIDERDUNGEON	Подземелье пауков 1
MAP_SPIDERDUNGEON_02	Подземелье пауков 2
MAP_SPIDERDUNGEON_02_1	Подземелье пауков 2
MAP_SPIDERDUNGEON_03	Подземелье пауков 3
MAP_SUNGZI	Битва Империй
MAP_SUNGZI_DESERT_01	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_01	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_02	Битва Империй-Пустынные земли
MAP_SUNGZI_DESERT_HILL_03	Битва Империй-Пустынные земли
MAP_SUNGZI_FLAME_HILL_01	Битва Империй-Огненные земли
MAP_SUNGZI_FLAME_HILL_02	Битва Империй-Огненные земли
MAP_SUNGZI_FLAME_HILL_03	Битва Империй-Огненные земли
MAP_SUNGZI_SNOW	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS01	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS02	Битва Империй-Ледяные земли
MAP_SUNGZI_SNOW_PASS03	Битва Империй-Ледяные земли
MAP_T1	Территория войны гильдий
MAP_T2	Территория войны гильдий
MAP_T3	Территория войны гильдий
MAP_T4	Территория войны гильдий
MAP_TEMPLE	Храм Хванг
MAP_THUNDER	Горы грома
MAP_TREE	Лунгсам
MAP_TRENT	Призрачный лес
MAP_TRENT02	Красный лес
MAP_TRENT02_A	Красный лес
MAP_TRENT_A	Lungsam
MAP_WEDDING_01	Свадебная локация
MAP_WL	Змеиное поле
MAP_WL_01	Змеиное Поле
MESSENGER_ADD_FRIEND	Добавить друга
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s принял вас в список друзей.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Принять?
MESSENGER_DO_YOU_DELETE	Удалить?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Удалить номер моб.телефона?
MESSENGER_EMPTY_LIST	Пусто
MESSENGER_FAMILY	Семья
MESSENGER_FRIEND	Друзья
MESSENGER_GUILD	Гильдия
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Введите номер подтверждения, посланный на ваш мобильный.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Ввести номер подтверждения.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Введите номер своего мобильного тел.для передачи смс.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Ввести номер сейчас?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Ввести номер мобильного телефона
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Отправить сообщение.
METIN_TEST	
MINIMAP	Открыть мини-карту
MINIMAP_CANNOT_SEE	Показ мини-карты невозможен.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Показ карты невозможен.
MINIMAP_DEC_SCALE	Уменьшить
MINIMAP_INC_SCALE	Увеличить
MINIMAP_OBSERVER_COUNT	%d Наблюдатель
MINIMAP_SHOW_AREAMAP	Открыть большую карту
MINUTE	Мин.
MONETARY_UNIT0	янг
MONEY_INPUT_DIALOG_SELLPRICE	Продажная цена:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Вы не можешь перемещать предмет, когда открыта ваша лавка.
MUSIC_EMPTY_MUSIC_LIST	Без фоновой музыки.
MUSIC_METIN2_DEFAULT_THEMA	Метин 2-стандартная музыка
MUSIC_NOT_SELECT_MUSIC	Музыкальный файл не выбран.
NEEFD_REST	Сперва вы должны отдо�
нуть.
NOT_YET_SUPPORT	Не поддерживается.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Вы не можете активировать режим Гильдии, пока не являетесь её членом.
OPTION_PVPMODE_NOT_SUPPORT	Вы не можете выбрать режим PvP.
OPTION_PVPMODE_PROTECT	Чтобы использовать PvP Режим, нужно достигнуть �
отя бы уровень %d.
PARTY_BONUS_ATTACKER	Атака: +%d	SA
PARTY_BONUS_BERSERKER	Скорость атаки: +%d	SA
PARTY_BONUS_BUFFER	Продолжительность действия навыков: +%d	SA
PARTY_BONUS_DEFENDER	Защита: +%d	SA
PARTY_BONUS_EXP	Бонус к опыту: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Макс. МП: +%d	SA
PARTY_BONUS_TANKER	Макс. ХП: +%d	SA
PARTY_BREAK_UP	Ликвидировать группу
PARTY_DO_YOU_ACCEPT	---LOCA::SPACE--�
отел бы присоединиться к группе.
PARTY_DO_YOU_JOIN	 пригласил вас в группу. Принять приглашение?
PARTY_EXP_DISTRIBUTION_MODE	Распределение опыта
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	В зависимости от уровня
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Участники группы с более высоким уровнем получают больше опыта.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Равномерно
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Все участники группы получают одинаковое количество опыта.
PARTY_HEAL_ALL_MEMBER	Восстановить всё
PARTY_INCREASE_AREA_150	Диапазон группы увеличен в 1,5 раза.	SNA
PARTY_INCREASE_AREA_200	Диапазон группы увеличен в 2 раза.	SNA
PARTY_LEAVE	Покинуть группу
PARTY_MEMBER_OFFLINE	[оффлайн]
PARTY_RECALL_MEMBER	Позвать участника группы.
PARTY_REQUEST_DENIED	Ваше приглашение не принято.
PARTY_SET_ATTACKER	Определить Бойцом атаки.
PARTY_SET_BERSERKER	Определить  Берсеркером.
PARTY_SET_BUFFER	Определить  Блокирующим.
PARTY_SET_DEFENDER	Определить Защитником.
PARTY_SET_NORMAL	Отменить установку.
PARTY_SET_SKILL_MASTER	Определить  Мастером навыков.
PARTY_SET_TANKER	Определить Бойцом ближнего боя.
PARTY_SKILL_ATTACKER	Базовый показатель Боец атаки +%.0f
PARTY_SKILL_BERSERKER	Скорость атаки Берсеркер +%.0f
PARTY_SKILL_BUFFER	Длительность навыка Блокирущий +%.0f
PARTY_SKILL_DEFENDER	Защита Защитник +%.0f
PARTY_SKILL_SKILL_MASTER	Максим. МП Мастер навыков +%.0f
PARTY_SKILL_TANKER	Максим. ХП Боец ближнего боя +%.0f
PASSWORD_TITLE	Пароль для склада
PICK_ITEM_TITLE	Номер предмета
PICK_MONEY_TITLE	Стоимость
PRIVATE_SHOP_CANNOT_SELL_ITEM	Этот предмет нельзя купить в лавке.
PRIVATE_SHOP_CLOSE_QUESTION	Хотите закрыть лавку?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Имя лавки
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Цена
PVP_LEVEL0	по-рыцарски
PVP_LEVEL1	благородно
PVP_LEVEL2	�
орошо
PVP_LEVEL3	дружелюбный
PVP_LEVEL4	нейтральный
PVP_LEVEL5	агрессивный
PVP_LEVEL6	коварный
PVP_LEVEL7	злобный
PVP_LEVEL8	жестокий
PVP_MODE_GUILD	PvP-Режим гильдии активирован
PVP_MODE_KILL	Свободное PvP активировано
PVP_MODE_NORMAL	PvP-мир активирован
PVP_MODE_PROTECT	PvP-защита активирована
PVP_MODE_REVENGE	PvP-враждебный активировано
PVP_OPTION_KILL	Свободный
PVP_OPTION_NORMAL	Мир
PVP_OPTION_PROTECT	Защита
PVP_OPTION_REVENGE	враждебный
QUEST_APPEND	Новое задание  принято.
QUEST_MIN	Мин.
QUEST_SEC	Сек.
QUEST_TIMEOVER	Время исстекло.
QUEST_UNLIMITED_TIME	Без ограничения времени
QUICKSLOT_REGISTER_DISABLE_ITEM	Этот предмет не может быть добавлен в поле быстрого доступа.
RECEIVE_MESSAGE	%s отправил вам сообщение.
REFINE_COST	Затраты на улучшение: %d янг
REFINE_DESTROY_WARNING	Вероятность разрушения предмета \n при его улучшении.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Вы точно хотите улучшить предмет?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	но в случае неудачи предмет будет разрушен. Вы уверенны, что хотите продолжить?
REFINE_DOWN_GRADE_WARNING	Вероятность потери некоторых свойств предмета при попытке его улучшить.
REFINE_DO_YOU_SEPARATE_METIN	Вы хотите удалить Камень духа?
REFINE_FAILURE	Да уж, не сработало. Мы не справились.
отите продолжить?
 свойств предмета при попытке его улучшить.
отите удалить Камень ду�
а?
REFINE_FAILURE_CAN_NOT_ATTACH	%s нельзя приложить к этому предмету.
REFINE_FAILURE_DEL_ITEM	Улучшение не удалось. \n Предмет уничтожен.
